task,family,k,seed,mode,acc,eps,support_size,support,lam,delta_norm
country-capital,knowledge,0,0,oracle,0.02040816326530612,0,1,country-capital,0,12.167401079361873
country-capital,knowledge,0,0,naive,0.04081632653061224,1,31,all,0,0
country-capital,knowledge,4,0,cass,0.0,0.8209,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.6159,11.17
country-capital,knowledge,4,0,cass_recon,0.0,0.8209,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.6159,11.17
country-capital,knowledge,4,0,zvec,0.04081632653061224,0.8209,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.6159,11.17
country-capital,knowledge,4,1,cass,0.02040816326530612,0.7786,4,country-currency|landmark-country|person-instrument|product-company,0.4419,9.21
country-capital,knowledge,4,1,cass_recon,0.0,0.7786,4,country-currency|landmark-country|person-instrument|product-company,0.4419,9.21
country-capital,knowledge,4,1,zvec,0.04081632653061224,0.7786,4,country-currency|landmark-country|person-instrument|product-company,0.4419,9.21
country-capital,knowledge,4,2,cass,0.02040816326530612,0.7871,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.47,10.7
country-capital,knowledge,4,2,cass_recon,0.0,0.7871,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.47,10.7
country-capital,knowledge,4,2,zvec,0.04081632653061224,0.7871,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.47,10.7
country-capital,knowledge,4,3,cass,0.0,0.8697,4,country-currency|landmark-country|person-instrument|product-company,0.8114,12.45
country-capital,knowledge,4,4,cass,0.02040816326530612,0.784,5,country-currency|landmark-country|person-instrument|product-company|english-spanish,0.5389,11.14
country-currency,knowledge,0,0,oracle,0.0,0,1,country-currency,0,6.881100897861362
country-currency,knowledge,0,0,naive,0.0,1,31,all,0,0
country-currency,knowledge,4,0,cass,0.0,0.7801,5,country-capital|landmark-country|person-instrument|alphabetically-first|choose-last-of-list,0.2709,6.71
country-currency,knowledge,4,0,cass_recon,0.0,0.7801,5,country-capital|landmark-country|person-instrument|alphabetically-first|choose-last-of-list,0.2709,6.71
country-currency,knowledge,4,0,zvec,0.0,0.7801,5,country-capital|landmark-country|person-instrument|alphabetically-first|choose-last-of-list,0.2709,6.71
country-currency,knowledge,4,1,cass,0.0,0.8449,4,country-capital|alphabetically-last|choose-last-of-list|verb-from-list,0.2364,5.23
country-currency,knowledge,4,1,cass_recon,0.0,0.8449,4,country-capital|alphabetically-last|choose-last-of-list|verb-from-list,0.2364,5.23
country-currency,knowledge,4,1,zvec,0.0,0.8449,4,country-capital|alphabetically-last|choose-last-of-list|verb-from-list,0.2364,5.23
country-currency,knowledge,4,2,cass,0.0,0.8617,1,country-capital,0.308,7.1
