task,family,seed,mode,acc,eps,support_size,support
country-continent,knowledge,0,oracle,0.9,0,1,country-continent
country-continent,knowledge,0,naive,0.0,1,0,all
country-continent,knowledge,0,cass,0.62,0.8292,3,landmark-country|park-country|person-sport
country-continent,knowledge,0,zvec,0.52,0.8292,3,landmark-country|park-country|person-sport
country-continent,knowledge,1,cass,0.38,0.7535,4,landmark-country|park-country|person-sport|product-company
country-continent,knowledge,1,zvec,0.28,0.7535,4,landmark-country|park-country|person-sport|product-company
country-continent,knowledge,2,cass,0.32,0.8622,2,park-country|person-sport
country-continent,knowledge,2,zvec,0.04,0.8622,2,park-country|person-sport
country-continent,knowledge,3,cass,0.4,0.7791,5,country-currency|landmark-country|park-country|person-occupation|person-sport
country-continent,knowledge,4,cass,0.7,0.7904,3,landmark-country|park-country|person-sport
element-symbol,knowledge,0,oracle,0.6,0,1,element-symbol
element-symbol,knowledge,0,naive,0.0,1,0,all
element-symbol,knowledge,0,cass,0.0,0.91,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
element-symbol,knowledge,0,zvec,0.02,0.91,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
element-symbol,knowledge,1,cass,0.0,0.9026,5,singular-plural|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
element-symbol,knowledge,1,zvec,0.02,0.9026,5,singular-plural|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
element-symbol,knowledge,2,cass,0.58,0.9645,5,lowercase-first-letter|english-german|alphabetically-first|alphabetically-last|choose-middle-of-list
element-symbol,knowledge,2,zvec,0.58,0.9645,5,lowercase-first-letter|english-german|alphabetically-first|alphabetically-last|choose-middle-of-list
element-symbol,knowledge,3,cass,0.22,0.9317,3,country-currency|english-spanish|alphabetically-first
element-symbol,knowledge,4,cass,0.58,0.9347,4,lowercase-first-letter|alphabetically-first|choose-first-of-list|choose-middle-of-list
animal-baby,knowledge,0,oracle,0.0,0,1,animal-baby
animal-baby,knowledge,0,naive,0.0,1,0,all
animal-baby,knowledge,0,cass,0.0,0.9295,4,country-currency|park-country|person-instrument|product-company
animal-baby,knowledge,0,zvec,0.0,0.9295,4,country-currency|park-country|person-instrument|product-company
animal-baby,knowledge,1,cass,0.0,0.9272,5,country-capital|country-currency|person-instrument|product-company|synonym
animal-baby,knowledge,1,zvec,0.02,0.9272,5,country-capital|country-currency|person-instrument|product-company|synonym
animal-baby,knowledge,2,cass,0.0,0.9008,5,country-capital|country-currency|park-country|person-instrument|product-company
animal-baby,knowledge,2,zvec,0.0,0.9008,5,country-capital|country-currency|park-country|person-instrument|product-company
animal-baby,knowledge,3,cass,0.0,0.9656,4,country-currency|park-country|person-instrument|product-company
animal-baby,knowledge,4,cass,0.0,0.9989,1,person-occupation
fruit-color,knowledge,0,oracle,0.06,0,1,fruit-color
fruit-color,knowledge,0,naive,0.06,1,0,all
fruit-color,knowledge,0,cass,0.08,0.9555,4,person-instrument|product-company|capitalize-last-letter|lowercase-first-letter
fruit-color,knowledge,0,zvec,0.16,0.9555,4,person-instrument|product-company|capitalize-last-letter|lowercase-first-letter
fruit-color,knowledge,1,cass,0.06,0.9676,4,person-instrument|product-company|capitalize-last-letter|word-length
fruit-color,knowledge,1,zvec,0.08,0.9676,4,person-instrument|product-company|capitalize-last-letter|word-length
fruit-color,knowledge,2,cass,0.06,0.9262,5,person-instrument|product-company|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter
fruit-color,knowledge,2,zvec,0.06,0.9262,5,person-instrument|product-company|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter
fruit-color,knowledge,3,cass,0.06,0.9306,5,person-instrument|product-company|capitalize-last-letter|next-capital-letter|word-length
fruit-color,knowledge,4,cass,0.02,0.945,2,person-instrument|product-company
profession-workplace,knowledge,0,oracle,0.37142857142857144,0,1,profession-workplace
profession-workplace,knowledge,0,naive,0.0,1,0,all
profession-workplace,knowledge,0,cass,0.05714285714285714,0.8922,5,person-occupation|person-sport|person-instrument|product-company|synonym
profession-workplace,knowledge,0,zvec,0.08571428571428572,0.8922,5,person-occupation|person-sport|person-instrument|product-company|synonym
profession-workplace,knowledge,1,cass,0.02857142857142857,0.9353,2,product-company|synonym
profession-workplace,knowledge,1,zvec,0.08571428571428572,0.9353,2,product-company|synonym
profession-workplace,knowledge,2,cass,0.02857142857142857,0.8583,5,person-occupation|person-sport|person-instrument|product-company|synonym
profession-workplace,knowledge,2,zvec,0.02857142857142857,0.8583,5,person-occupation|person-sport|person-instrument|product-company|synonym
profession-workplace,knowledge,3,cass,0.05714285714285714,0.9236,4,person-occupation|person-sport|product-company|synonym
profession-workplace,knowledge,4,cass,0.02857142857142857,0.9289,3,park-country|product-company|synonym
capital-country,knowledge,0,oracle,0.7916666666666666,0,1,capital-country
capital-country,knowledge,0,naive,0.041666666666666664,1,0,all
capital-country,knowledge,0,cass,0.8541666666666666,0.7887,5,country-capital|country-currency|landmark-country|park-country|product-company
capital-country,knowledge,0,zvec,0.8541666666666666,0.7887,5,country-capital|country-currency|landmark-country|park-country|product-company
capital-country,knowledge,1,cass,0.8541666666666666,0.7311,4,country-currency|landmark-country|park-country|product-company
capital-country,knowledge,1,zvec,0.875,0.7311,4,country-currency|landmark-country|park-country|product-company
capital-country,knowledge,2,cass,0.875,0.783,4,country-capital|country-currency|landmark-country|park-country
capital-country,knowledge,2,zvec,0.8958333333333334,0.783,4,country-capital|country-currency|landmark-country|park-country
capital-country,knowledge,3,cass,0.7916666666666666,0.6869,5,country-capital|country-currency|landmark-country|park-country|product-company
capital-country,knowledge,4,cass,0.875,0.6544,5,country-capital|country-currency|landmark-country|park-country|product-company
verb-gerund,linguistic,0,oracle,0.66,0,1,verb-gerund
verb-gerund,linguistic,0,naive,0.0,1,0,all
verb-gerund,linguistic,0,cass,0.02,0.7209,5,antonym|present-past|singular-plural|capitalize|english-spanish
verb-gerund,linguistic,0,zvec,0.04,0.7209,5,antonym|present-past|singular-plural|capitalize|english-spanish
verb-gerund,linguistic,1,cass,0.04,0.7464,5,synonym|present-past|singular-plural|capitalize|alphabetically-first
verb-gerund,linguistic,1,zvec,0.16,0.7464,5,synonym|present-past|singular-plural|capitalize|alphabetically-first
verb-gerund,linguistic,2,cass,0.04,0.7483,4,antonym|present-past|singular-plural|capitalize
verb-gerund,linguistic,2,zvec,0.08,0.7483,4,antonym|present-past|singular-plural|capitalize
verb-gerund,linguistic,3,cass,0.04,0.7099,3,synonym|present-past|singular-plural
verb-gerund,linguistic,4,cass,0.04,0.6823,5,synonym|present-past|singular-plural|capitalize|alphabetically-first
adjective-comparative,linguistic,0,oracle,0.0,0,1,adjective-comparative
adjective-comparative,linguistic,0,naive,0.0,1,0,all
adjective-comparative,linguistic,0,cass,0.0,0.8413,3,present-past|singular-plural|capitalize
adjective-comparative,linguistic,0,zvec,0.0,0.8413,3,present-past|singular-plural|capitalize
adjective-comparative,linguistic,1,cass,0.0,0.8504,5,present-past|singular-plural|capitalize|next-item|prev-item
adjective-comparative,linguistic,1,zvec,0.0,0.8504,5,present-past|singular-plural|capitalize|next-item|prev-item
adjective-comparative,linguistic,2,cass,0.0,0.8358,5,present-past|singular-plural|capitalize|next-item|prev-item
adjective-comparative,linguistic,2,zvec,0.0,0.8358,5,present-past|singular-plural|capitalize|next-item|prev-item
adjective-comparative,linguistic,3,cass,0.0,0.8389,5,present-past|singular-plural|capitalize|next-item|prev-item
